Header Information,80,984,3321,3211,3823,4650,4293,4332,--:--
Header Information,54,940,3071,3220,5410,6284,5590,5625,--:--
Header Information,72,1028,2911,3111,1151,1971,1062,1089,--:--
Header Information,73,1013,3077,3230,1686,1224,1272,1295,--:--
Header Information,76,989,2931,2804,3343,3884,4030,4054,--:--
Header Information,75,1112,2941,2838,3346,3529,5084,5109,--:--
Header Information,104,1050,2872,3013,1051,1360,1284,1316,--:--
Header Information,80,963,3579,3463,4212,4315,7429,7450,--:--
Header Information,73,1074,5537,5305,6210,6615,16539,16570,--:--
Header Information,61,820,3418,3290,4968,3841,9144,9166,--:--
Header Information,69,906,3301,3188,7583,7456,7133,7165,--:--
Header Information,77,979,2521,2317,2597,2901,5392,5431,--:--
Header Information,55,921,2420,2310,2581,2972,14754,14784,--:--
Header Information,85,982,2563,2425,2662,2913,14262,14290,--:--
Header Information,76,966,2785,2676,3161,3501,6679,6700,--:--
Header Information,73,936,2333,2500,397,615,5384,5407,--:--
Header Information,57,943,2364,2520,218,742,15577,15608,--:--
Header Information,47,956,2595,2788,928,1194,1711,1733,--:--
Header Information,70,893,3045,2891,3513,3600,4089,4112,--:--
Header Information,78,902,3299,3184,5433,5560,4408,4437,--:--
Header Information,68,904,2880,3027,423,1047,1207,1249,--:--
Header Information,76,1124,5863,6127,345,736,946,969,--:--
Header Information,50,920,2592,2799,1657,2161,1255,1279,--:--
Header Information,76,924,3546,3857,1648,1165,1092,1116,--:--
Header Information,71,947,3932,3676,4504,4402,4711,4734,--:--
Header Information,57,888,3369,3667,1003,1255,1301,1325,--:--
Header Information,69,939,3064,2913,3934,3726,11637,11666,--:--
Header Information,75,936,4823,4323,5414,6197,6829,6861,--:--
Header Information,66,936,2934,3428,992,2367,6143,6169,--:--
Header Information,57,1203,3733,3620,4885,5722,11866,11887,--:--
Header Information,73,1099,3413,2959,3840,3925,13223,13252,--:--
Header Information,71,834,2357,2676,515,926,5068,5096,--:--
Header Information,77,936,2761,2931,638,877,7041,7067,--:--
Header Information,63,1278,3236,3130,3963,4424,10934,10963,--:--
Header Information,79,1059,3131,3290,733,618,12385,12410,--:--
Header Information,68,915,2812,3031,1285,1460,4233,4260,--:--
Header Information,70,923,2689,2873,1467,1708,8362,8387,--:--
Header Information,68,957,3272,3165,3896,4299,10944,10966,--:--
Header Information,63,1204,2930,3125,1217,996,10328,10358,--:--
Header Information,82,950,3461,3317,4471,4256,7355,7384,--:--
Header Information,69,957,3474,3789,792,646,6649,6678,--:--
Header Information,80,893,3009,3333,922,1357,7918,7947,--:--
Header Information,80,1009,2686,2963,573,827,11445,11475,--:--
Header Information,67,872,2817,2674,3807,4708,7130,7157,--:--
Header Information,53,893,2683,2862,664,717,7250,7270,--:--
Header Information,63,1263,2747,3109,803,1355,1391,1412,--:--
Header Information,45,875,2588,2933,367,871,1458,1483,--:--
