Header Information,58,1530,2285,2477,208,592,2450,2475,--:--
Header Information,61,1361,2080,2296,163,402,1697,1715,--:--
Header Information,71,1457,2183,2381,222,394,4764,4783,--:--
Header Information,79,1414,2925,3081,1277,968,31536,31564,--:--
Header Information,75,2487,3886,12917,1024,460,8540,8568,--:--
Header Information,51,5340,6654,6811,382,505,879,900,--:--
Header Information,71,1434,2206,2426,245,233,655,688,--:--
Header Information,65,4171,19636,19883,179,759,847,886,--:--
Header Information,73,1460,2559,2448,2720,3072,3166,3201,--:--
Header Information,58,1477,2369,2576,240,325,644,674,--:--
Header Information,71,2425,4145,5653,1191,137,19608,19633,--:--
Header Information,81,1580,2588,2465,2722,3017,3259,3290,--:--
Header Information,60,1537,2384,2604,321,237,2374,2398,--:--
Header Information,53,1543,2358,2615,254,358,1869,1898,--:--
Header Information,77,3312,19666,16926,18926,18669,22856,22883,--:--
Header Information,64,2289,3295,3655,574,211,660,685,--:--
Header Information,69,3666,5776,6344,463,1880,12392,12422,--:--
Header Information,76,1514,2302,2542,157,412,678,712,--:--
Header Information,80,1541,2276,2470,221,343,647,681,--:--
Header Information,59,2272,4060,3406,4159,5533,20437,20475,--:--
Header Information,68,1418,2114,2324,335,276,687,722,--:--
Header Information,58,1499,2258,2483,355,329,675,719,--:--
Header Information,80,1490,3872,6949,1583,957,15944,15964,--:--
Header Information,57,1582,2299,2541,381,929,3109,3132,--:--
Header Information,64,1570,2216,2452,412,259,652,708,--:--
Header Information,182,3313,14135,14399,195,326,813,865,--:--
Header Information,51,1476,2301,2529,180,361,639,670,--:--
Header Information,48,1480,2405,2281,2618,2983,3122,3157,--:--
Header Information,45,1391,14825,3064,19731,7887,27635,27656,--:--
Header Information,66,1795,2777,3053,277,240,681,706,--:--
Header Information,61,1436,8461,8910,5693,1328,12009,12039,--:--
Header Information,71,4625,10117,12378,228,203,642,683,--:--
Header Information,80,1524,2426,2699,198,521,761,792,--:--
Header Information,61,4822,14927,14786,15128,15420,15726,15763,--:--
Header Information,72,1430,2357,2619,524,734,807,845,--:--
Header Information,64,1395,2308,2586,209,551,673,712,--:--
Header Information,72,6092,20439,20172,20775,21416,21989,22013,--:--
Header Information,82,1494,2262,2463,245,378,2521,2544,--:--
Header Information,80,1372,2132,2349,127,379,1749,1776,--:--
Header Information,63,1548,2171,2405,157,421,10081,10111,--:--
Header Information,51,5856,12827,12989,719,500,7416,7438,--:--
Header Information,71,4442,5776,5982,264,597,3435,3459,--:--
Header Information,80,1649,2339,2606,161,388,1464,1493,--:--
Header Information,56,1682,2295,2506,221,532,1748,1769,--:--
Header Information,73,4760,28255,28518,3069,773,415,450,--:--
Header Information,68,1484,2470,2709,377,255,719,742,--:--
Header Information,71,2584,4473,4877,805,1454,5020,5046,--:--
Header Information,38,1581,2219,2435,159,736,452,469,--:--
Header Information,47,1492,6919,2626,12495,8360,3375,3394,--:--
Header Information,52,1576,2444,2692,1078,533,837,881,--:--
Header Information,89,1810,2725,8578,2731,2573,2492,2516,--:--
Header Information,53,1436,2231,2474,627,268,747,783,--:--
